Size,Algorithm,Random,Sorted,Reverse,Half,Nearly
20,Bubble Sort,0.000001,0.000000,0.000001,0.000000,0.000000
20,Insertion Sort,0.000000,0.000000,0.000000,0.000000,0.000000
20,Selection Sort,0.000001,0.000001,0.000001,0.000000,0.000000
20,Quick Sort,0.000000,0.000000,0.000000,0.000000,0.000000
20,Merge Sort,0.000003,0.000003,0.000003,0.000002,0.000004
20,Heap Sort,0.000001,0.000001,0.000002,0.000002,0.000001
50,Bubble Sort,0.000004,0.000000,0.000004,0.000002,0.000002
50,Insertion Sort,0.000001,0.000000,0.000002,0.000001,0.000000
50,Selection Sort,0.000004,0.000002,0.000002,0.000003,0.000002
50,Quick Sort,0.000001,0.000000,0.000000,0.000001,0.000000
50,Merge Sort,0.000012,0.000005,0.000004,0.000011,0.000005
50,Heap Sort,0.000004,0.000004,0.000002,0.000002,0.000003
100,Bubble Sort,0.000014,0.000000,0.000015,0.000008,0.000007
100,Insertion Sort,0.000004,0.000000,0.000007,0.000002,0.000002
100,Selection Sort,0.000012,0.000005,0.000006,0.000006,0.000005
100,Quick Sort,0.000001,0.000000,0.000000,0.000001,0.000000
100,Merge Sort,0.000016,0.000008,0.000008,0.000008,0.000015
100,Heap Sort,0.000011,0.000010,0.000005,0.000006,0.000005
500,Bubble Sort,0.000277,0.000000,0.000354,0.000127,0.000158
500,Insertion Sort,0.000137,0.000002,0.000150,0.000036,0.000022
500,Selection Sort,0.000122,0.000096,0.000114,0.000112,0.000171
500,Quick Sort,0.000004,0.000002,0.000002,0.000003,0.000002
500,Merge Sort,0.000059,0.000067,0.000065,0.000085,0.000044
500,Heap Sort,0.000036,0.000032,0.000030,0.000036,0.000035
1000,Bubble Sort,0.001034,0.000001,0.001430,0.000656,0.000962
1000,Insertion Sort,0.000523,0.000002,0.000771,0.000078,0.000071
1000,Selection Sort,0.000457,0.000373,0.000808,0.000423,0.000378
1000,Quick Sort,0.000005,0.000004,0.000005,0.000007,0.000003
1000,Merge Sort,0.000107,0.000074,0.000084,0.000098,0.000085
1000,Heap Sort,0.000139,0.000117,0.000117,0.000082,0.000075
5000,Bubble Sort,0.025261,0.000005,0.035703,0.016152,0.015545
5000,Insertion Sort,0.007736,0.000015,0.016275,0.002166,0.001803
5000,Selection Sort,0.010819,0.010120,0.011142,0.010681,0.009591
5000,Quick Sort,0.000043,0.000014,0.000014,0.000028,0.000036
5000,Merge Sort,0.000615,0.000616,0.000715,0.000475,0.000716
5000,Heap Sort,0.000719,0.000418,0.000602,0.000497,0.000498
10000,Bubble Sort,0.100258,0.000017,0.141764,0.067098,0.063058
10000,Insertion Sort,0.030291,0.000017,0.059953,0.012059,0.007673
10000,Selection Sort,0.042986,0.038070,0.045026,0.043234,0.039610
10000,Quick Sort,0.000081,0.000051,0.000029,0.000089,0.000071
10000,Merge Sort,0.001273,0.001042,0.000833,0.000976,0.001099
10000,Heap Sort,0.001308,0.000905,0.001358,0.001346,0.001287
100000,Bubble Sort,TIMEOUT,0.000097,TIMEOUT,TIMEOUT,3.016468
100000,Insertion Sort,3.057140,0.000300,TIMEOUT,2.814238,0.176990
100000,Selection Sort,4.275840,3.920818,4.467128,4.148613,4.085968
100000,Quick Sort,0.000591,0.000276,0.000278,0.000291,0.000482
100000,Merge Sort,0.014680,0.008989,0.009820,0.011940,0.014490
100000,Heap Sort,0.014368,0.010434,0.010775,0.012385,0.010555
